MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType,Length,Width,Draft
419988771,2026-09-05T00:30:38,17.66146,83.39266,10.3,112.9,112,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-05T00:36:38,17.65395,83.41019,11.4,110.2,112,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-05T00:42:38,17.64644,83.42772,11.0,118.0,120,SEA GLORY,Bulk Carrier,190,34,12.0
636204591,2026-09-05T00:02:30,17.59941,83.50616,12.3,305.9,305,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T00:08:31,17.61288,83.4883,13.8,311.9,314,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T00:14:32,17.62635,83.47044,12.2,309.1,309,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T00:20:33,17.63982,83.45257,13.6,307.2,310,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T00:26:34,17.65328,83.43471,13.1,306.2,305,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T00:32:35,17.66675,83.41684,13.6,304.9,306,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T00:38:36,17.68021,83.39896,12.3,312.1,312,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T00:44:37,17.69367,83.38109,12.3,309.6,312,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T00:50:38,17.70713,83.36321,13.9,308.5,309,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T00:56:39,17.72058,83.34533,13.4,311.7,313,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T01:02:39,17.73404,83.32745,13.3,310.0,309,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T01:08:40,17.74749,83.30956,12.9,307.3,310,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T01:14:41,17.76094,83.29167,12.0,306.3,304,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T01:20:42,17.7744,83.27378,12.0,308.7,309,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T01:26:43,17.78784,83.25589,12.1,310.0,307,PACIFIC TRADER,Cargo,140,23,8.5
636204591,2026-09-05T01:50:47,17.84162,83.18428,13.0,304.6,304,PACIFIC TRADER,Cargo,140,23,8.5
419556230,2026-09-04T23:41:03,17.62196,83.38711,6.9,13.7,14,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-04T23:46:19,17.63203,83.38902,6.4,12.5,14,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-04T23:51:35,17.6421,83.39093,6.8,7.0,7,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-04T23:56:51,17.65216,83.39284,7.3,10.0,11,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-05T00:02:07,17.66223,83.39475,6.8,14.1,12,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-05T00:07:23,17.6723,83.39666,6.5,9.0,11,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-05T00:12:39,17.68236,83.39857,6.8,7.8,7,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-05T00:17:54,17.69243,83.40048,7.8,8.5,7,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-05T00:23:10,17.70249,83.40239,7.1,9.8,12,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-05T00:28:26,17.71256,83.4043,7.7,6.7,10,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-05T00:33:42,17.72263,83.40622,7.7,14.0,17,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-05T00:38:58,17.73269,83.40813,6.4,7.6,7,BLUE HORIZON,Fishing Vessel,28,7,3.2
419556230,2026-09-05T00:44:14,17.74276,83.41004,6.8,9.5,7,BLUE HORIZON,Fishing Vessel,28,7,3.2
563812004,2026-09-04T22:52:22,17.83956,83.42567,15.5,263.0,264,NAVI STAR,Container Ship,210,34,13.0
563812004,2026-09-04T22:58:56,17.83705,83.39705,15.0,267.0,268,NAVI STAR,Container Ship,210,34,13.0
563812004,2026-09-04T23:05:30,17.83454,83.36843,14.1,262.2,261,NAVI STAR,Container Ship,210,34,13.0
563812004,2026-09-04T23:12:04,17.83202,83.33982,14.6,266.6,264,NAVI STAR,Container Ship,210,34,13.0
563812004,2026-09-04T23:18:39,17.8295,83.3112,15.8,261.1,261,NAVI STAR,Container Ship,210,34,13.0
563812004,2026-09-04T23:25:13,17.82698,83.28259,15.0,265.0,262,NAVI STAR,Container Ship,210,34,13.0
563812004,2026-09-04T23:31:47,17.82445,83.25397,14.1,267.5,265,NAVI STAR,Container Ship,210,34,13.0
563812004,2026-09-04T23:38:21,17.82192,83.22536,15.9,267.6,267,NAVI STAR,Container Ship,210,34,13.0
563812004,2026-09-04T23:44:55,17.81938,83.19674,14.1,265.3,266,NAVI STAR,Container Ship,210,34,13.0
419001122,2026-09-05T01:16:25,17.86628,83.4478,3.8,301.2,300,PORT GUARDIAN,Tug,24,8,3.6
419001122,2026-09-05T01:21:49,17.86924,83.44231,3.6,300.9,300,PORT GUARDIAN,Tug,24,8,3.6
419001122,2026-09-05T01:27:14,17.8722,83.43682,3.9,301.5,299,PORT GUARDIAN,Tug,24,8,3.6
419001122,2026-09-05T01:32:39,17.87515,83.43133,3.1,303.5,306,PORT GUARDIAN,Tug,24,8,3.6
419001122,2026-09-05T01:38:03,17.87811,83.42584,4.9,297.2,296,PORT GUARDIAN,Tug,24,8,3.6
419001122,2026-09-05T01:43:28,17.88107,83.42035,3.7,302.6,305,PORT GUARDIAN,Tug,24,8,3.6
419001122,2026-09-05T01:48:52,17.88403,83.41485,4.4,296.8,299,PORT GUARDIAN,Tug,24,8,3.6
